date2,vader_comp
2021-02-05,0.08580608028335301
2021-02-06,0.0988098230628432
2021-02-07,0.0960750495049505
2021-02-08,0.12420680007083407
2021-02-09,0.11383
2021-02-10,0.12212138400453773
2021-02-13,0.12198621444201313
2021-02-14,0.16677645298079322
2021-02-15,0.20645742850999785
2021-02-18,0.13986734693877553
2021-02-19,0.10739192656491928
2021-02-22,0.11177643097643097
2021-02-28,0.10268164014687883
2021-03-11,0.050812442396313356
2021-03-12,0.09793362222788682
2021-04-05,0.13092694583522985
2021-04-06,0.12502672922252012
2021-04-07,0.11606806140133696
2021-04-08,0.12076807486631015
2021-04-09,0.07741404316546763
2021-04-10,0.10614871603091498
2021-04-11,0.1376684649337911
2021-04-12,0.10742071651090343
2021-04-17,0.15281621621621622
2021-04-18,0.098257264231096
2021-04-19,0.11066880310755038
2021-04-20,0.12290444393801277
2021-04-21,0.09356124887285844
2021-04-22,0.1019389259114073
2021-04-23,0.09132223358908782
2021-04-24,0.11219716599190283
2021-05-25,0.1174458794149126
2021-05-26,0.09885287872601062
2021-05-27,0.12507250741501255
2021-05-28,0.10974981692040855
2021-05-29,0.0795785540031049
2021-06-20,0.21485224402345512
2021-06-21,0.17286344029332118
2021-06-22,0.14286601439790578
2021-06-23,0.19891654404250972
2021-07-02,0.18764644443195233
2021-07-03,0.24575791191506097
2021-07-04,0.24874321479620565
2021-07-05,0.2509069242908279
2021-07-16,0.10025837837837838
2021-07-17,0.21584994738226781
2021-07-18,0.29395571096459466
2021-07-19,0.22725890221561645
2021-07-20,0.15286344033879676
2021-07-21,0.20107186142735986
2021-07-22,0.2492033503064898
2021-07-23,0.2244300976226025
2021-07-24,0.23099256792505682
2021-07-25,0.2210610560771815
2021-07-26,0.13888116110727147
2021-07-27,0.23643582592486379
2021-07-28,0.21883776386288814
2021-07-29,0.36467770305768626
2021-07-30,0.21744022713065222
2021-08-04,0.19157924421883812
2021-08-05,0.20342797846609972
2021-08-06,0.21667957486714598
2021-08-07,0.2057343622023358
2021-08-08,0.25208144174499025
2021-08-09,0.27209604867198744
2021-08-15,0.21865812587657785
2021-08-16,0.2192060604734608
2021-08-17,0.23115825944446777
2021-08-18,0.2639046061240513
2021-08-19,0.2288478677110531
2021-08-20,0.2126969143188658
2021-08-21,0.2163193173499268
